ID;NumberZ;Shifr;Napr;Prof;Uroven;FormaOb;Fin;Zach;Sogl
4527E3C6-C9CB-4B7B-9AE3-CEC760BC80CD;892;35.00.02;Технология лесозаготовительных и деревоперерабатывающих производств;;Бакалавриат;Заочная форма;Бюджетные места;0;0
4527E3C6-C9CB-4B7B-9AE3-CEC760BC80CD;892;15.00.05;Конструкторско-технологическое обеспечение машиностроительных производств;;Бакалавриат;Заочная форма;Бюджетные места;0;0
FB8C7BFC-49AE-4A85-BE2F-831130DAD8D1;175;38.00.01;Экономика;;Бакалавриат;Очная форма;Целевой прием;1;1
4527E3C6-C9CB-4B7B-9AE3-CEC760BC80CD;892;15.00.04;Автоматизация технологических процессов и производств;;Бакалавриат;Заочная форма;Бюджетные места;0;0
FB8C7BFC-49AE-4A85-BE2F-831130DAD8D1;175;38.00.02;Менеджмент;;Бакалавриат;Очная форма;Бюджетные места;0;0
DB9CBFC8-B661-47DA-896A-7EE2F1BC2434;2827;15.00.04;Автоматизация технологических процессов и производств;;Бакалавриат;Очная форма;Бюджетные места;0;0
DB9CBFC8-B661-47DA-896A-7EE2F1BC2434;2827;15.00.02;Технологические машины и оборудование;;Бакалавриат;Очная форма;Бюджетные места;0;0
DB9CBFC8-B661-47DA-896A-7EE2F1BC2434;2827;35.00.02;Технология лесозаготовительных и деревоперерабатывающих производств;;Бакалавриат;Очная форма;Бюджетные места;0;0
2E17192E-F444-40BD-940E-CF57586F4E46;1030;15.00.05;Конструкторско-технологическое обеспечение машиностроительных производств;;Бакалавриат;Очная форма;Бюджетные места;0;0
2E17192E-F444-40BD-940E-CF57586F4E46;1030;20.00.01;Техносферная безопасность;;Бакалавриат;Очная форма;Бюджетные места;0;0
2E17192E-F444-40BD-940E-CF57586F4E46;1030;35.00.02;Технология лесозаготовительных и деревоперерабатывающих производств;;Бакалавриат;Очная форма;Бюджетные места;0;0
19289084-4D40-4BDB-8174-2DDDC3FE7069;2668;39.00.02;Социальная работа;;Бакалавриат;Очная форма;Бюджетные места;1;1
3340BBA4-F84F-4B2C-802C-972AEE4F9654;520;45.00.01;Филология;;Магистратура;Очная форма;Бюджетные места;0;0
3340BBA4-F84F-4B2C-802C-972AEE4F9654;520;44.00.02;Психолого-педагогическое образование;;Магистратура;Очная форма;С оплатой обучения;0;0
